risk,proposed_action,path,prefix,kind,priority,live_bytes,snapshot_blob_size,byte_relation,tracked_relation,snapshot_blob,live_blob,sensitive_path_redacted
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.json>,benchmarks,sensitive_path,P0_sensitive_hold,791,791,live_differs_from_snapshot_untracked,not_tracked_current_index,b53ddb4e91dd592643132d15922afe08ceddabd2,5d0b54da119a7a77fd1ddea1b90fb44c35bc0e65,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.json>,benchmarks,sensitive_path,P0_sensitive_hold,787,787,live_differs_from_snapshot_untracked,not_tracked_current_index,eb3016f9a4bd8986612597a1c556c437538d4b6d,ff6ad9ad574346a61e91cb6c1888faedf1fd320e,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,benchmarks,sensitive_path,P0_sensitive_hold,4788,4788,live_differs_from_snapshot_untracked,not_tracked_current_index,89ea6c32b96c71ca9cead92b95ddbc9ccb5e43c7,794bd5504d61d199a774123dbbb6e009cdbdae5d,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,datasets,sensitive_path,P0_sensitive_hold,4847,4847,live_differs_from_snapshot_untracked,not_tracked_current_index,dbd2fa5195f384782279b9ee4b8fcb534856bbd5,5a166a4c55ee0e09f6ae3a6dda135ddf05b361a1,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.txt>,datasets,sensitive_path,P0_sensitive_hold,6503,6503,live_differs_from_snapshot_untracked,not_tracked_current_index,6244cdb17e1639abac138b8ad569476316b43ff6,37e6f75cf26a70c627a5559e8710505216cfa0d0,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,4936,4936,live_differs_from_snapshot_untracked,not_tracked_current_index,ae7e1cf4129ae3135c176179b852df02761e2ee2,fcfea19ed6513869738977605b9db6fab3fc2a34,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,9566,9566,live_differs_from_snapshot_untracked,not_tracked_current_index,54909ca1930a344f0ea7c5b228212f588ab7818d,e89ace7b6848dce7d38c2c889b85e19afaad733f,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,2356,2356,live_differs_from_snapshot_untracked,not_tracked_current_index,5d69f633cafb590590295ab850ecf18b87966150,8371a305fce441d5d7553fab1ad95cb6ca8d0016,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,1562,1562,live_differs_from_snapshot_untracked,not_tracked_current_index,566d6b477646f7862e1ee047411f69d6e6005500,67eaaf776aa0f8e62f5c417c2f4509fc60fb156d,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,3219,3219,live_differs_from_snapshot_untracked,not_tracked_current_index,05af104f800f5556e14ba8a4e265fae2e7295514,f2ff0fdee6eb22fea8958b54aac087e86809b404,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,594198,594198,live_differs_from_snapshot_untracked,not_tracked_current_index,aefaa85208d581de5bcfcce5701768c5c06c00d5,daeaaf926526db3decc5e5bd1fe7ceccdad9c4e5,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,10714,10714,live_differs_from_snapshot_untracked,not_tracked_current_index,6001fefb72c8a2e24b293fa85eac3c35fcd53fb0,17078482b8a0f5e5b526d0221e0faf5ac088ee19,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,12537,12537,live_differs_from_snapshot_untracked,not_tracked_current_index,e2c591ebd946a263e04322cafad27d683641b8b6,260e8513ae566c3fc5ff9f1bac3477f911e5b665,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,2171,2171,live_differs_from_snapshot_untracked,not_tracked_current_index,576e0e5efda7eadd318d82a2f07380a510449bc5,fbeacb958e1c9a4ac57b96edc49b8f3df71100bf,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,13382,13382,live_differs_from_snapshot_untracked,not_tracked_current_index,dbe03b66be530790ad9e786350015218c1d67789,56635b88bb11b71a0ef01a01e14b00134d02e748,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,10737,10737,live_differs_from_snapshot_untracked,not_tracked_current_index,2023dd2e84090e5a732b427aec11c5a6974f2287,cbdda8f3c24ce3ca5e1a6d1c2aaaae7751117a98,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,10911,10911,live_differs_from_snapshot_untracked,not_tracked_current_index,682b775281fa7223b91dd5e781a8fb5ca2eb81de,28f70987d957ea91aa32ebb388ead911c352a244,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,4752,4752,live_differs_from_snapshot_untracked,not_tracked_current_index,26bb25241dd5366dada84a24415e226ce5d9342f,995561ae58ddba1d9954146d81e56167997963ff,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.md>,docs,sensitive_path,P0_sensitive_hold,3168,3168,live_differs_from_snapshot_untracked,not_tracked_current_index,2e19c3dd528278a14a8a4f8d5d32f2311a66902c,d889b8cb4d1736cbba8922f901ef4d14628528b6,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.json>,evidence,sensitive_path,P0_sensitive_hold,133165,133165,live_differs_from_snapshot_untracked,not_tracked_current_index,6ddf178ce6e7d7454859126d7c71a02202b13c43,52e763c1d8560a73fc6f73a833fd404271c157c6,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.csv>,logs,sensitive_path,P0_sensitive_hold,68248,68248,live_differs_from_snapshot_untracked,not_tracked_current_index,6fc1523ad322bc2d7a4ba0b56bfaae0a72410320,ab4ec76ffc8fcdca509e60d077462664aad6ffed,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.csv>,logs,sensitive_path,P0_sensitive_hold,1020,1020,live_differs_from_snapshot_untracked,not_tracked_current_index,becb51ec0ec9151c72fa0c902f894ffea3f6c824,1f06ad47ed36332204d3031b3edfb8a376fbdfa5,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.csv>,logs,sensitive_path,P0_sensitive_hold,211038,211038,live_differs_from_snapshot_untracked,not_tracked_current_index,ae27e8e5124fa1c6e0543edd47ec4927743a3358,b16912c8d8ef2ce1e56bee14c199e58408d79e73,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.csv>,logs,sensitive_path,P0_sensitive_hold,4102,4102,live_differs_from_snapshot_untracked,not_tracked_current_index,16a7b082d0e364f29de97382f83778f80da84f85,d9d00080c12d3e95f69aa9b2d2accb0b358b283b,True
P0_sensitive,sensitive_hold_secret_scan_before_any_public_tracking,<redacted-sensitive-path:.csv>,logs,sensitive_path,P0_sensitive_hold,14582,14582,live_differs_from_snapshot_untracked,not_tracked_current_index,8d9f5827c6f8f6fabd43383c12e4887d76fc7a84,299325de67e375de913914b578f725d54fa4517f,True
